,Date,Close Price
0,2021-02-18,2936.4026912257004
1,2021-02-19,2931.2084143479815
2,2021-02-20,2920.658483019477
3,2021-02-21,2903.9105103891225
4,2021-02-22,2881.2180897860226
5,2021-02-23,2853.5925342692053
6,2021-02-24,2822.414631973329
7,2021-02-25,2789.114543185621
8,2021-02-26,2754.957990362852
9,2021-02-27,2720.9407812599366
10,2021-02-28,2687.759634476145
11,2021-03-01,2655.841557926052
12,2021-03-02,2625.394445095061
13,2021-03-03,2596.4666480499454
14,2021-03-04,2569.0104267754105
15,2021-03-05,2542.922140554493
16,2021-03-06,2518.0793790915677
17,2021-03-07,2494.3587120052116
18,2021-03-08,2471.6497660122022
19,2021-03-09,2449.858897236386
20,2021-03-10,2428.9083751400403
21,2021-03-11,2408.733526283643
22,2021-03-12,2389.281918257235
23,2021-03-13,2370.5070351484774
24,2021-03-14,2352.367665491177
25,2021-03-15,2334.8268821794863
26,2021-03-16,2317.8500022963117
27,2021-03-17,2301.404587113312
28,2021-03-18,2285.458809953625
29,2021-03-19,2269.9834963634594
