,Date,Close Price
0,2021-02-18,1903.7431751808645
1,2021-02-19,1915.0604998441177
2,2021-02-20,1921.3113312148662
3,2021-02-21,1921.8873848738485
4,2021-02-22,1917.0582375333643
5,2021-02-23,1907.692297487154
6,2021-02-24,1894.939508150549
7,2021-02-25,1879.973729757462
8,2021-02-26,1863.827827201786
9,2021-02-27,1847.3107583996443
10,2021-02-28,1830.9858213734424
11,2021-03-01,1815.19707664192
12,2021-03-02,1800.1145613962317
13,2021-03-03,1785.7847425981936
14,2021-03-04,1772.179489513569
15,2021-03-05,1759.2304683749817
16,2021-03-06,1746.8594370187857
17,2021-03-07,1734.990431073581
18,2021-03-08,1723.5604695837692
19,2021-03-09,1712.5203522368392
20,2021-03-10,1701.8335204672449
21,2021-03-11,1691.4727546576478
22,2021-03-12,1681.4191491324073
23,2021-03-13,1671.655962118516
24,2021-03-14,1662.1712352066834
25,2021-03-15,1652.9515294226585
26,2021-03-16,1643.98386135064
27,2021-03-17,1635.2565003605614
28,2021-03-18,1626.7563491470091
29,2021-03-19,1618.4708798526308
